scientific_name,class,order,family,family_common,wikipedia_url,inaturalist_url
Accipiter hiogaster,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_hiogaster,https://www.inaturalist.org/taxa/144463
Accipiter madagascariensis,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_madagascariensis,https://www.inaturalist.org/taxa/5119
Accipiter melanoleucus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_melanoleucus,https://www.inaturalist.org/taxa/5140
Accipiter minullus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_minullus,https://www.inaturalist.org/taxa/5088
Accipiter nisus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_nisus,https://www.inaturalist.org/taxa/5106
Accipiter novaehollandiae,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_novaehollandiae,https://www.inaturalist.org/taxa/5144
Accipiter ovampensis,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_ovampensis,https://www.inaturalist.org/taxa/5133
Accipiter poliogaster,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_poliogaster,https://www.inaturalist.org/taxa/5146
Accipiter rufiventris,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_rufiventris,https://www.inaturalist.org/taxa/5141
Accipiter soloensis,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_soloensis,https://www.inaturalist.org/taxa/5091
Accipiter striatus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_striatus,https://www.inaturalist.org/taxa/5097
Accipiter superciliosus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_superciliosus,https://www.inaturalist.org/taxa/5113
Accipiter tachiro,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_tachiro,https://www.inaturalist.org/taxa/5089
Accipiter trinotatus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_trinotatus,https://www.inaturalist.org/taxa/5096
Accipiter trivirgatus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_trivirgatus,https://www.inaturalist.org/taxa/5145
Accipiter virgatus,Aves,Accipitriformes,Accipitridae,,https://en.wikipedia.org/wiki/Accipiter_virgatus,https://www.inaturalist.org/taxa/5147
Aceros nipalensis,,,,,https://en.wikipedia.org/wiki/Aceros_nipalensis,https://www.inaturalist.org/taxa/5523
Achaetops pycnopygius,Aves,Passeriformes,Macrosphenidae,,https://en.wikipedia.org/wiki/Achaetops_pycnopygius,https://www.inaturalist.org/taxa/116789
Acherontia atropos,Insecta,Lepidoptera,Sphingidae,,https://en.wikipedia.org/wiki/Acherontia_atropos,https://www.inaturalist.org/taxa/56530
Acheta confalonierii,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_confalonierii,https://www.inaturalist.org/taxa/1422638
Acheta domesticus,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_domesticus,https://www.inaturalist.org/taxa/133220
Acheta hispanicus,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_hispanicus,https://www.inaturalist.org/taxa/917175
Acheta meridionalis,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_meridionalis,https://www.inaturalist.org/taxa/520430
Acheta rufopictus,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_rufopictus,https://www.inaturalist.org/taxa/1422645
Acheta turcomanoides,Insecta,Orthoptera,Gryllidae,,https://en.wikipedia.org/wiki/Acheta_turcomanoides,https://www.inaturalist.org/taxa/1422647
Acinonyx jubatus,Mammalia,Carnivora,Felidae,,https://en.wikipedia.org/wiki/Acinonyx_jubatus,https://www.inaturalist.org/taxa/41955
Acontista concinna,Insecta,Mantodea,Acanthopidae,,https://en.wikipedia.org/wiki/Acontista_concinna,https://www.inaturalist.org/taxa/748777
Acrida ungarica,Insecta,Orthoptera,Acrididae,,https://en.wikipedia.org/wiki/Acrida_ungarica,https://www.inaturalist.org/taxa/211055
Acridotheres albocinctus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_albocinctus,https://www.inaturalist.org/taxa/14876
Acridotheres burmannicus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_burmannicus,https://www.inaturalist.org/taxa/145096
Acridotheres cinereus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_cinereus,https://www.inaturalist.org/taxa/14871
Acridotheres cristatellus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_cristatellus,https://www.inaturalist.org/taxa/14872
Acridotheres fuscus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_fuscus,https://www.inaturalist.org/taxa/14869
Acridotheres ginginianus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_ginginianus,https://www.inaturalist.org/taxa/14874
Acridotheres grandis,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_grandis,https://www.inaturalist.org/taxa/14870
Acridotheres javanicus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_javanicus,https://www.inaturalist.org/taxa/145095
Acridotheres leucocephalus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_leucocephalus,https://www.inaturalist.org/taxa/1440638
Acridotheres melanopterus,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_melanopterus,https://www.inaturalist.org/taxa/145097
Acridotheres tristis,Aves,Passeriformes,Sturnidae,,https://en.wikipedia.org/wiki/Acridotheres_tristis,https://www.inaturalist.org/taxa/14875
Acripeza reticulata,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acripeza_reticulata,https://www.inaturalist.org/taxa/489764
Acris blanchardi,Amphibia,Anura,Hylidae,,https://en.wikipedia.org/wiki/Acris_blanchardi,https://www.inaturalist.org/taxa/70421
Acris crepitans,Amphibia,Anura,Hylidae,,https://en.wikipedia.org/wiki/Acris_crepitans,https://www.inaturalist.org/taxa/24230
Acris gryllus,Amphibia,Anura,Hylidae,,https://en.wikipedia.org/wiki/Acris_gryllus,https://www.inaturalist.org/taxa/24233
Acritillas indica,Aves,Passeriformes,Pycnonotidae,,https://en.wikipedia.org/wiki/Acritillas_indica,https://www.inaturalist.org/taxa/495192
Acrobates pygmaeus,Mammalia,Diprotodontia,Acrobatidae,,https://en.wikipedia.org/wiki/Acrobates_pygmaeus,https://www.inaturalist.org/taxa/42715
Acrobatornis fonsecai,Aves,Passeriformes,Furnariidae,,https://en.wikipedia.org/wiki/Acrobatornis_fonsecai,https://www.inaturalist.org/taxa/11778
Acrocephalus aequinoctialis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_aequinoctialis,https://www.inaturalist.org/taxa/116765
