scientific_name,locale,common_name
Pampusana stairi,cy,Shy Ground Dove
Pampusana xanthonura,cy,White-throated Ground Dove
Pan paniscus,cy,Bonobo
Pan troglodytes,cy,Chimpanzee
Pandion haliaetus,cy,Gwalch pysgod
Panterpe insignis,cy,Sïedn gyddf-fflam
Panthera leo,cy,Llew
Panthera onca,cy,Jaguar
Panthera pardus,cy,Llewpard
Panthera tigris,cy,Teigr
Panthera uncia,cy,Snow Leopard
Panurus biarmicus,cy,Titw barfog
Panyptila cayennensis,cy,Coblyn cynffonfforchog bach
Panyptila sanctihieronymi,cy,Coblyn cynffonfforchog mawr
Papasula abbotti,cy,Bwbi Abbott
Papio anubis,cy,Olive Baboon
Papio cynocephalus,cy,Yellow Baboon
Papio papio,cy,Guinea Baboon
Papio ursinus,cy,Chacma Baboon
Papurana daemeli,cy,Australian Wood Frog
Papurana elberti,cy,Papurana elberti
Parabuteo leucorrhous,cy,Bwncath tinwyn
Parabuteo unicinctus,cy,Gwalch Harris
Paraclaravis geoffroyi,cy,Turtur ddaear adeinresog
Paraclaravis mondetoura,cy,Turtur ddaear fronwinau
Paracrinia haswelli,cy,Haswell's Froglet
Paracynictis selousi,cy,Selous' Mongoose
Paracyrtophyllus robustus,cy,Central Texas Leaf-Katydid
Paradigalla brevicauda,cy,Paradigala cynffonfyr
Paradigalla carunculata,cy,Paradigala cynffonhir
Paradisaea apoda,cy,Aderyn paradwys mawr
Paradisaea decora,cy,Aderyn paradwys Goldie
Paradisaea guilielmi,cy,Aderyn paradwys Wilhelm
Paradisaea minor,cy,Aderyn paradwys bach
Paradisaea raggiana,cy,Aderyn paradwys Raggiana
Paradisaea rubra,cy,Aderyn paradwys coch
Paradisornis rudolphi,cy,Blue Bird-of-Paradise
Paradoxornis aemodius,cy,Great Parrotbill
Paradoxornis bakeri,cy,Rufous-headed Parrotbill
Paradoxornis flavirostris,cy,Gylfindro Gould
Paradoxornis gularis,cy,Gylfindro penllwyd
Paradoxornis guttaticollis,cy,Gylfindro bronfrith
Paradoxornis heudei,cy,Gylfindro Heude
Paradoxornis margaritae,cy,Black-headed Parrotbill
Paradoxornis paradoxus,cy,Three-toed Parrotbill
Paradoxornis ruficeps,cy,Gylfindro pengoch mawr
Paradoxornis unicolor,cy,Gylfindro brown
Paradoxurus hermaphroditus,cy,Northern Palm Civet
Paradoxurus musanga,cy,Southern Palm Civet
Paragalago cocos,cy,Kenya Coast Galago
Paragallinula angulata,cy,Iâr ddŵr fechan
Paragryllus rex,cy,Paragryllus rex
Parahyaena brunnea,cy,Brown Hyaena
Paramythia montium,cy,Pigwr aeron cribog
Paramythia olivacea,cy,Western Crested Berrypecker
Parascalops breweri,cy,Hairy-tailed Mole
Parastrellus hesperus,cy,Canyon Bat
Paraxerus alexandri,cy,Alexander's Bush Squirrel
Paraxerus boehmi,cy,Boehm's Bush Squirrel
Paraxerus cepapi,cy,Smith's Bush Squirrel
Paraxerus ochraceus,cy,Ochre Bush Squirrel
Paraxerus palliatus,cy,Red Bush Squirrel
Parayuhina diademata,cy,Iwhina torchwyn
Pardalotus punctatus,cy,Pardalot mannog
Pardalotus quadragintus,cy,Pardalot deugain smotyn
Pardalotus rubricatus,cy,Pardalot aelgoch
Pardalotus striatus,cy,Pardalot rhesog y Gorllewin
Pardipicus caroli,cy,Brown-eared Woodpecker
Pardipicus nivosus,cy,Buff-spotted Woodpecker
Pardirallus maculatus,cy,Rhegen fannog America
Pardirallus nigricans,cy,Rhegen dywyll
Pardirallus sanguinolentus,cy,Rhegen blymaidd
Parkerthraustes humeralis,cy,Tewbig ysgwyddfelyn
Parkesia motacilla,cy,Brych ddŵr Louisiana
Parkesia noveboracensis,cy,Northern Waterthrush
Parmoptila jamesoni,cy,Cwyrbig morgrug wynepgoch
Parmoptila rubrifrons,cy,Red-fronted Antpecker
Parmoptila woodhousei,cy,Cwyrbig morgrug cyffredin
Paroaria baeri,cy,Cardinal wynepgoch
Paroaria capitata,cy,Cardinal pigfelyn
Paroaria coronata,cy,Cardinal cribgoch
Paroaria dominicana,cy,Cardinal cycyllog
Paroaria gularis,cy,Cardinal pengoch
Paroaria nigrogenis,cy,Masked Cardinal
Paroreomyza flammea,cy,Mêl-gropiwr Molokai
Paroreomyza maculata,cy,Mêl-gropiwr Oahu
Paroreomyza montana,cy,Mêl-gropiwr Maui
Parotia berlepschi,cy,Bronze Parotia
Parotia carolae,cy,Aderyn paradwys Carola
Parotia helenae,cy,Eastern Parotia
Parotia lawesii,cy,Aderyn paradwys Lawes
Parotia sefilata,cy,Aderyn paradwys Arfak
Parotia wahnesi,cy,Aderyn paradwys Wahnes
Parus cinereus,cy,Asian Tit
Parus major,cy,Titw mawr
Parus monticolus,cy,Titw cefnwyrdd
Parvipsitta porphyrocephala,cy,Purple-crowned Lorikeet
Parvipsitta pusilla,cy,Little Lorikeet
Passer ammodendri,cy,Golfan saxaul
Passer castanopterus,cy,Golfan Somalia
Passer cinnamomeus,cy,Golfan gwinau Asia
Passer cordofanicus,cy,Kordofan Rufous Sparrow
Passer diffusus,cy,Southern Gray-headed Sparrow
Passer domesticus,cy,Aderyn y to
Passer eminibey,cy,Golfan gwinau Affrica
Passer euchlorus,cy,Auripasser euchlorus
Passer flaveolus,cy,Golfan Pegu
Passer gongonensis,cy,Golfan gylfinbraff
Passer griseus,cy,Golfan penllwyd
Passer hemileucus,cy,Abd al Kuri Sparrow
Passer hispaniolensis,cy,Golfan Sbaen
Passer iagoensis,cy,Golfan Cabo Verde
Passer insularis,cy,Golfan Socotra
Passer italiae,cy,Golfan yr Eidal
Passer luteus,cy,Golfan aur
Passer melanurus,cy,Golfan y Penrhyn
Passer moabiticus,cy,Golfan y Môr Marw
Passer montanus,cy,Golfan mynydd
Passer motitensis,cy,Golfan mawr
Passer pyrrhonotus,cy,Golfan coedwig Sind
Passer rufocinctus,cy,Golfan cefngoch
Passer shelleyi,cy,Shelley's Rufous Sparrow
Passer simplex,cy,Golfan diffeithwch
Passer suahelicus,cy,Golfan Swahili
Passer swainsonii,cy,Golfan Swainson
Passer zarudnyi,cy,Zarudny's Sparrow
Passerculus sandwichensis,cy,Bras paith
Passerella iliaca,cy,Bras mawr
Passerina amoena,cy,Bras lasuli
Passerina caerulea,cy,Tewbig glas
Passerina ciris,cy,Bras Amryliw
Passerina cyanea,cy,Bras goleulas
Passerina leclancherii,cy,Bras bron oren
Passerina rositae,cy,Bras gwridog
Passerina versicolor,cy,Bras Amrywiol
Pastor roseus,cy,Rosy Starling
Patagioenas araucana,cy,Colomen yr Andes
Patagioenas caribaea,cy,Colomen gynffonresog y Caribî
Patagioenas cayennensis,cy,Colomen dinwen
Patagioenas corensis,cy,Colomen lygatfoel
Patagioenas fasciata,cy,Colomen gynffonresog
Patagioenas flavirostris,cy,Colomen bicoch
Patagioenas goodsoni,cy,Colomen dywyll
Patagioenas inornata,cy,Colomen blaen
Patagioenas leucocephala,cy,Colomen goronwen
Patagioenas maculosa,cy,Colomen fraith
Patagioenas nigrirostris,cy,Colomen bigddu
Patagioenas oenops,cy,Colomen Salvin
Patagioenas picazuro,cy,Colomen Picazuro
Patagioenas plumbea,cy,Colomen ludlwyd
Patagioenas speciosa,cy,Colomen gennog
Patagioenas squamosa,cy,Colomen yddfgoch
Patagioenas subvinacea,cy,Ruddy Pigeon
Patagona gigas,cy,Sïedn mawr
Pauropsalta castanea,cy,Flinders Squawker
Pauropsalta contigua,cy,Oven Squawker
Pauropsalta extensa,cy,Slender Squawker
Pauropsalta infuscata,cy,Large Mallee Squawker
Pauropsalta mneme,cy,Alarm Clock Squawker
Pauxi koepckeae,cy,Sira Curassow
Pauxi pauxi,cy,Cwrasow helmog
Pauxi unicornis,cy,Cwrasow corniog
Pavo cristatus,cy,"Paun, Peunes"
Pavo muticus,cy,Paun gwyrdd
Pecari tajacu,cy,Collared Peccary
Pectinator spekei,cy,Speke's Gundi
Pedionomus torquatus,cy,Crwydryn y malî
Pekania pennanti,cy,Fisher
Pelagodroma marina,cy,Pedryn drycin wynebwyn
Pelargopsis amauroptera,cy,Brown-winged Kingfisher
Pelargopsis capensis,cy,Pysgotwr pigfawr
Pelargopsis melanorhyncha,cy,Pysgotwr pigfawr Swlawesi
Pelea capreolus,cy,Grey Rhebok
Pelecanoides garnotii,cy,Pedryn plymio Periw
Pelecanoides georgicus,cy,Pedryn plymio De Georgia
Pelecanoides magellani,cy,Pedryn plymio Magellan
Pelecanoides urinatrix,cy,Pedryn plymio cyffredin
Pelecanus conspicillatus,cy,Pelican Awstralia
Pelecanus crispus,cy,Pelican Dalmatia
Pelecanus erythrorhynchos,cy,Pelican gwyn America
Pelecanus occidentalis,cy,Pelican brown America
Pelecanus onocrotalus,cy,Pelican gwyn
Pelecanus philippensis,cy,Pelican llwyd
Pelecanus rufescens,cy,Pelican gwridog
Pelecanus thagus,cy,Pelican Periw
Peliperdix lathami,cy,Ffrancolin Latham
Pellorneum albiventre,cy,Preblyn brown Asia
Pellorneum bicolor,cy,Preblyn jyngl deuliw
Pellorneum buettikoferi,cy,Sumatran Babbler
Pellorneum capistratoides,cy,Bornean Black-capped Babbler
Pellorneum capistratum,cy,Preblyn corunddu
Pellorneum celebense,cy,Preblyn jyngl Swlawesi
Pellorneum cinereiceps,cy,Preblyn jyngl penllwyd
Pellorneum fuscocapillus,cy,Preblyn jyngl penfrown
Pellorneum malaccense,cy,Preblyn jyngl cwta
Pellorneum nigrocapitatum,cy,Malayan Black-capped Babbler
Pellorneum palustre,cy,Preblyn cors
Pellorneum pyrrogenys,cy,Preblyn jyngl Temminck
Pellorneum rostratum,cy,Preblyn jyngl bronwyn
Pellorneum ruficeps,cy,Preblyn mannog
Pellorneum tickelli,cy,Preblyn jyngl Tickell
Pelobates fuscus,cy,Common Spadefoot
Pelodryas caerulea,cy,Green Tree Frog
Pelodytes atlanticus,cy,Lusitanian Parsley Frog
Pelodytes ibericus,cy,Iberian parsley frog
Pelodytes punctatus,cy,Common Parsley Frog
Pelophylax chosenicus,cy,Golden Pond Frog
Pelophylax epeiroticus,cy,Epirus Water Frog
Pelophylax esculentus,cy,Edible Frog
Pelophylax lessonae,cy,Pool Frog
Pelophylax mongolius,cy,Yellow River Frog
Pelophylax nigromaculatus,cy,Black-spotted Frog
Pelophylax perezi,cy,Iberian Green Frog
Pelophylax plancyi,cy,Eastern Golden Frog
Pelophylax porosus,cy,Daruma Pond Frog
Pelophylax ridibundus,cy,Marsh Frog
Pelophylax saharicus,cy,Sahara Frog
Peltohyas australis,cy,Hutan diffeithwch
Peltops blainvillii,cy,Tarianbig yr iseldir
Peltops montanus,cy,Tarianbig yr ucheldir
Penelope albipennis,cy,Gwân adeinwyn
Penelope argyrotis,cy,Gwân arianglust
Penelope barbata,cy,Gwân barfog
Penelope bridgesi,cy,Yungas Guan
Penelope dabbenei,cy,Gwân wynepgoch
Penelope jacquacu,cy,Gwân Spix
Penelope jacucaca,cy,Gwân talcenwyn
Penelope marail,cy,Gwân Marail
Penelope montagnii,cy,Gwân yr Andes
Penelope obscura,cy,Gwân coesau tywyll
Penelope ochrogaster,cy,Gwân torwinau
Penelope ortoni,cy,Gwân Baudo
Penelope perspicax,cy,Gwân Cauca
Penelope pileata,cy,Gwân cribwyn
Penelope purpurascens,cy,Gwân cribog
Penelope superciliaris,cy,Gwân torfrown
Penelopides affinis,cy,Mindanao Hornbill
Penelopides manillae,cy,Luzon Hornbill
Penelopides mindorensis,cy,Mindoro Hornbill
Penelopides panini,cy,Cornbig cynffongoch
Penelopides samarensis,cy,Samar Hornbill
Penelopina nigra,cy,Gwân ucheldir
Peneothello cyanus,cy,Blue-gray Robin
Peneothello sigillata,cy,White-winged Robin
Pengilleyia peronii,cy,Peron's Tree Frog
Pengilleyia ridibunda,cy,Western Laughing Tree Frog
Pengilleyia rothii,cy,Northern Laughing Tree Frog
Pengilleyia tyleri,cy,Tyler's Laughing Tree Frog
Perameles nasuta,cy,Long-nosed Bandicoot
Percnostola arenarum,cy,Allpahuayo Antbird
Percnostola rufifrons,cy,Aderyn morgrug penddu
Percussion,cy,Taro
Perdicula argoondah,cy,Sofliar graig
Perdicula asiatica,cy,Sofliar prysglwyn
Perdicula erythrorhyncha,cy,Sofliar liwiedig
Perdicula manipurensis,cy,Sofliar Manipur
Perdix dauurica,cy,Petrisen Dawria
Perdix hodgsoniae,cy,Petrisen Tibet
Perdix perdix,cy,Petrisen
Pericrocotus albifrons,cy,Jerdon's Minivet
Pericrocotus brevirostris,cy,Minifet pigfyr
Pericrocotus cantonensis,cy,Brown-rumped Minivet
Pericrocotus cinnamomeus,cy,Minifet bach
Pericrocotus divaricatus,cy,Minifet llwyd
Pericrocotus erythropygius,cy,Minifet Jerdon
Pericrocotus ethologus,cy,Minifet cynffonhir
Pericrocotus flammeus,cy,Minifet sgarlad
Pericrocotus igneus,cy,Minifet fflamgoch
Pericrocotus lansbergei,cy,Minifet Fflores
Pericrocotus miniatus,cy,Minifet Swnda
Pericrocotus roseus,cy,Minifet gwridog
Pericrocotus solaris,cy,Minifet gyddf-felyn
Pericrocotus speciosus,cy,Scarlet Minivet
Pericrocotus tegimae,cy,Ryukyu Minivet
Perimyotis subflavus,cy,Tricolored Bat
Periparus amabilis,cy,Palawan Tit
Periparus ater,cy,Titw penddu
Periparus elegans,cy,Elegant Tit
Periparus rubidiventris,cy,Titw cribddu
Periparus rufonuchalis,cy,Rufous-naped Tit
Periparus venustulus,cy,Yellow-bellied Tit
Periporphyrus celaeno,cy,Crimson-collared Grosbeak
Periporphyrus erythromelas,cy,Tewbig coch a du
Perisoreus canadensis,cy,Sgrech lwyd
Perisoreus infaustus,cy,Sgrech Siberia
Perisoreus internigrans,cy,Sgrech lwyd Szechwan
Perissocephalus tricolor,cy,Aderyn trilliw penfoel
Pernis apivorus,cy,Boda mêl
Pernis celebensis,cy,Boda mêl rhesog
Pernis ptilorhynchus,cy,Boda mêl cribog
Pernis steerei,cy,Philippine Honey-buzzard
Peromyscus gossypinus,cy,Cotton Mouse
Peromyscus leucopus,cy,White-footed Mouse
Peromyscus maniculatus,cy,Eastern Deermouse
Peromyscus sonoriensis,cy,Western Deer Mouse
Peropteryx kappleri,cy,Greater Dog-like Bat
Peropteryx macrotis,cy,Lesser Dog-like Bat
Peropteryx trinitatis,cy,Trinidad Dog-like Bat
Petaurista albiventer,cy,White-bellied Giant Flying Squirrel
Petaurista grandis,cy,Taiwan Giant Flying Squirrel
Petaurista lena,cy,Taiwan Red-and-white Giant Flying Squirrel
Petaurista petaurista,cy,Red Giant Flying Squirrel
Petaurista philippensis,cy,Common Giant Flying Squirrel
Petauroides volans,cy,Greater Glider
Petaurus australis,cy,Yellow-bellied Glider
Petaurus breviceps,cy,Sugar Glider
Petaurus norfolcensis,cy,Squirrel Glider
Petaurus notatus,cy,Krefft's Glider
Petrochelidon ariel,cy,Gwennol gain
Petrochelidon fluvicola,cy,Gwennol resog India
Petrochelidon fulva,cy,Gwennol ogof
Petrochelidon nigricans,cy,Gwennol coed Awstralia
Petrochelidon perdita,cy,Red Sea Swallow
Petrochelidon preussi,cy,Gwennol ddibyn Preuss
Petrochelidon pyrrhonota,cy,Gwennol ddibyn America
Petrochelidon rufigula,cy,Gwennol ddibyn yddfgoch
Petrochelidon rufocollaris,cy,Gwennol yddfwinau
Petrochelidon spilodera,cy,Gwennol ddibyn yddf-frech
Petrogale xanthopus,cy,Yellow-footed Rock Wallaby
Petroica archboldi,cy,Robin y graig
Petroica australis,cy,Robin twtwai
Petroica bivittata,cy,Robin y goedwig
Petroica boodang,cy,Scarlet Robin
Petroica goodenovii,cy,Robin bengoch
Petroica longipes,cy,North Island Robin
Petroica macrocephala,cy,Robin miromiro
Petroica multicolor,cy,Robin amryliw
Petroica phoenicea,cy,Robin fflamliw
Petroica polymorpha,cy,Solomons Robin
Petroica pusilla,cy,Pacific Robin
Petroica rodinogaster,cy,Robin binc
Petroica rosea,cy,Robin rosliw
Petroica traversi,cy,Robin Ynys Chatham
Petronia petronia,cy,Golfan y graig
Petrophassa albipennis,cy,Colomen graig adeinwen
Petrophassa rufipennis,cy,Colomen graig adeingoch
Peucaea aestivalis,cy,Bachman's Sparrow
Peucaea botterii,cy,Botteri's Sparrow
Peucaea carpalis,cy,Bras adeingoch
Peucaea cassinii,cy,Bras Cassin
Peucaea humeralis,cy,Bras bronddu’r De
Peucaea mystacalis,cy,Bras ffrwynog
Peucaea ruficauda,cy,Bras penrhesog y Gogledd
Peucaea sumichrasti,cy,Bras cynffon winau
Peucedramus taeniatus,cy,Telor mynydd America
Pezopetes capitalis,cy,Pila troedfawr
Pezophaps solitaria,cy,Rodrigues Solitaire
Pezoporus occidentalis,cy,Parot nos
Pezoporus wallicus,cy,Parot daear
Phacellodomus dorsalis,cy,Aderyn drain cefnfrown
Phacellodomus erythrophthalmus,cy,Aderyn drain llygatgoch
Phacellodomus ferrugineigula,cy,Orange-breasted Thornbird
Phacellodomus inornatus,cy,Plain Thornbird
Phacellodomus maculipectus,cy,Spot-breasted Thornbird
Phacellodomus ruber,cy,Aderyn drain mawr
Phacellodomus rufifrons,cy,Aderyn drain cyffredin
Phacellodomus sibilatrix,cy,Aderyn drain bach
Phacellodomus striaticeps,cy,Aderyn drain yr Andes
Phacellodomus striaticollis,cy,Aderyn drain bronfrith
Phaenicophaeus curvirostris,cy,Malcoa brongoch
Phaenicophaeus diardi,cy,Black-bellied Malkoha
Phaenicophaeus oeneicaudus,cy,Mentawai Malkoha
Phaenicophaeus pyrrhocephalus,cy,Malcoa wynepgoch
Phaenicophaeus sumatranus,cy,Chestnut-bellied Malkoha
Phaenicophaeus tristis,cy,Malcoa cynffonhir
Phaenicophaeus viridirostris,cy,Malcoa pigwyrdd
Phaenicophilus palmarum,cy,Tanagr palmwydd penddu
Phaenicophilus poliocephalus,cy,Tanagr palmwydd penllwyd
Phaenostictus mcleannani,cy,Aderyn morgrug smotiog
Phaeochroa cuvierii,cy,Sïedn brongennog
Phaeomyias murina,cy,Mouse-colored Tyrannulet
Phaeoptila sordida,cy,Dusky Hummingbird
Phaethon aethereus,cy,Aderyn trofannol picoch
Phaethon lepturus,cy,Aderyn trofannol cynffonwyn
Phaethon rubricauda,cy,Aderyn trofannol cynffongoch
Phaethornis aethopygus,cy,Tapajos Hermit
Phaethornis anthophilus,cy,Meudwy torwyn
Phaethornis atrimentalis,cy,Black-throated Hermit
Phaethornis augusti,cy,Meudwy penrhesog
Phaethornis bourcieri,cy,Meudwy sythbig
Phaethornis eurynome,cy,Meudwy gyddf-frych
Phaethornis griseogularis,cy,Meudwy genllwyd
Phaethornis guy,cy,Meudwy gwyrdd
Phaethornis hispidus,cy,White-bearded Hermit
Phaethornis idaliae,cy,Meudwy bychan
Phaethornis koepckeae,cy,Meudwy Koepcke
Phaethornis longirostris,cy,Long-billed Hermit
Phaethornis longuemareus,cy,Meudwy bach
Phaethornis malaris,cy,Meudwy pigbraff
Phaethornis mexicanus,cy,Mexican Hermit
Phaethornis nattereri,cy,Meudwy gyddfwinau
Phaethornis philippii,cy,Meudwy pigfain
Phaethornis pretrei,cy,Meudwy gwinau
Phaethornis ruber,cy,Meudwy coch
Phaethornis rupurumii,cy,Streak-throated Hermit
Phaethornis squalidus,cy,Meudwy bronllwyd
Phaethornis striigularis,cy,Stripe-throated Hermit
Phaethornis stuarti,cy,Meudwy aelwyn
Phaethornis subochraceus,cy,Meudwy melynllwyd
Phaethornis superciliosus,cy,Meudwy cynffonhir
Phaethornis syrmatophorus,cy,Meudwy torgoch
Phaethornis yaruqui,cy,Meudwy mwstasiog
Phaetusa simplex,cy,Môr-wennol bigfawr
Phainopepla nitens,cy,Gwybedog sidanaidd gloyw
Phainoptila melanoxantha,cy,Gwybedog sidanaidd du a melyn
Phalacrocorax capensis,cy,Mulfran y Penrhyn
Phalacrocorax capillatus,cy,Mulfran Jafa
Phalacrocorax carbo,cy,Mulfran
Phalacrocorax featherstoni,cy,Mulfran Ynys Chatham
Phalacrocorax fuscescens,cy,Mulfran Wynebddu
Phalacrocorax fuscicollis,cy,Mulfran India
Phalacrocorax neglectus,cy,Mulfran gwymon
Phalacrocorax nigrogularis,cy,Mulfran Socotra
Phalacrocorax punctatus,cy,Mulfran fannog
Phalacrocorax sulcirostris,cy,Mulfran fach ddu
Phalacrocorax varius,cy,Mulfran fraith
Phalaenoptilus nuttallii,cy,Whiparwhîl bach
Phalanger mimicus,cy,Southern Common Cuscus
Phalaropus fulicarius,cy,Llydandroed llwyd
Phalaropus lobatus,cy,Llydandroed gyddfgoch
Phalaropus tricolor,cy,Llydandroed Wilson
Phaner electromontis,cy,Montagne D’Ambre Fork-marked Lemur
Phaner pallescens,cy,Pale Fork-marked Lemur
Phaneroptera falcata,cy,Sickle-bearing Bush-cricket
Phaneroptera nana,cy,Mediterranean Katydid
Phapitreron amethystinus,cy,Turtur ffrwythau frown fawr
Phapitreron brunneiceps,cy,Mindanao Brown-Dove
Phapitreron cinereiceps,cy,Tawitawi Brown-Dove
Phapitreron leucotis,cy,Turtur ffrwythau frown fach
Phaps chalcoptera,cy,Adeinefydd cyffredin
Phaps elegans,cy,Adeinefydd bach
Phaps histrionica,cy,Colomen heidiol
Pharomachrus antisianus,cy,Cwetsal cribog
Pharomachrus auriceps,cy,Cwetsal eurben
Pharomachrus fulgidus,cy,Cwetsal cynffonfrith
Pharomachrus mocinno,cy,Cwetsal y Gogledd
Pharomachrus pavoninus,cy,Cwetsal y Dwyrain
Phascogale tapoatafa,cy,Brush-tailed Phascogale
Phascolarctos cinereus,cy,coala
Phasianus colchicus,cy,Ffesant
Phasianus versicolor,cy,Ffesant werdd
Phedina borbonica,cy,Gwennol Môr India
Phedinopsis brazzae,cy,Brazza's Martin
Phegornis mitchellii,cy,Cwtiad coronog
Phelpsia inornata,cy,Gwybedog barfwyn
Pheucticus aureoventris,cy,Tewbig cefnddu
Pheucticus chrysogaster,cy,Tewbig torfelyn
Pheucticus chrysopeplus,cy,Tewbig melyn
Pheucticus ludovicianus,cy,Tewbig brongoch
Pheucticus melanocephalus,cy,Tewbig penddu
Pheucticus tibialis,cy,Tewbig clunddu
Pheugopedius atrogularis,cy,Dryw gyddfddu
Pheugopedius coraya,cy,Dryw cynffonresog
Pheugopedius eisenmanni,cy,Dryw Inca
Pheugopedius euophrys,cy,Dryw bronfrith mawr
Pheugopedius fasciatoventris,cy,Dryw torddu
Pheugopedius felix,cy,Dryw llon
Pheugopedius genibarbis,cy,Dryw mwstasiog y Dwyrain
Pheugopedius maculipectus,cy,Dryw bronfrith bach
Pheugopedius mystacalis,cy,Dryw mwstasiog y Gorllewin
Pheugopedius rutilus,cy,Dryw brongoch
Pheugopedius schulenbergi,cy,Gray-browed Wren
Pheugopedius sclateri,cy,Speckle-breasted Wren
Pheugopedius spadix,cy,Dryw penddu
Phibalura flavirostris,cy,Cotinga cynffonfforchog
Philander vossi,cy,Northern Four-eyed Opossum
Philemon albitorques,cy,Melysor moel gwarwyn
Philemon argenticeps,cy,Melysor moel coronog
Philemon brassi,cy,Melysor moel Brass
Philemon buceroides,cy,Melysor moel helmog
Philemon citreogularis,cy,Melysor moel bach
Philemon cockerelli,cy,Melysor moel Prydain Newydd
Philemon corniculatus,cy,Melysor moel swnllyd
Philemon diemenensis,cy,Melysor Moel Caledonia Newydd
Philemon eichhorni,cy,Melysor moel Iwerddon Newydd
Philemon fuscicapillus,cy,Melysor moel tywyll
Philemon inornatus,cy,Melysor moel plaen
Philemon kisserensis,cy,Gray Friarbird
Philemon meyeri,cy,Melysor moel Meyer
Philemon moluccensis,cy,Melysor moel wynebddu
Philemon plumigenis,cy,Tanimbar Friarbird
Philemon subcorniculatus,cy,Melysor moel gyddflwyd
Philentoma pyrhoptera,cy,Brenin adeinwinau
Philentoma velata,cy,Brenin gwineurudd
Philepitta castanea,cy,Asiti tywyll
Philepitta schlegeli,cy,Asiti Schlegel
Philesturnus carunculatus,cy,Aderyn tagellog
Philesturnus rufusater,cy,North Island Saddleback
Philetairus socius,cy,Gwehydd heidiol y De
Philodice bryantae,cy,Magenta-throated Woodstar
Philodice mitchellii,cy,Purple-throated Woodstar
Philohydor lictor,cy,Ciscadî bach
Philoria loveridgei,cy,Masked Mountain Frog
Philoria sphagnicola,cy,Sphagnum Frog
Philortyx fasciatus,cy,Sofliar resog
Philydor atricapillus,cy,Lloffwr dail corunddu
Philydor erythrocercum,cy,Rufous-rumped Foliage-gleaner
Philydor fuscipenne,cy,Slaty-winged Foliage-gleaner
Philydor novaesi,cy,Lloffwr dail Alagoas
Philydor pyrrhodes,cy,Lloffwr dail tingoch
Phimosus infuscatus,cy,Ibis wynepfoel
Phlegopsis borbae,cy,Llygadfoel wynebwelw
Phlegopsis erythroptera,cy,Llygadfoel adeingoch
Phlegopsis nigromaculata,cy,Llygadfoel smotiau duon
Phleocryptes melanops,cy,Aderyn brwyn bach
Phlogophilus harterti,cy,Sïedn cynffonfrith Periw
Phlogophilus hemileucurus,cy,Sïedn cynffonfrith Ecwador
Phoca vitulina,cy,Morlo Cyffredin
Phodilus assimilis,cy,Sri Lanka Bay-Owl
Phodilus badius,cy,Oriental Bay-Owl
Phoebastria albatrus,cy,Albatros Ynys Izu
Phoebastria immutabilis,cy,Albatros Laysan
Phoebastria irrorata,cy,Albatros tonnog
Phoebastria nigripes,cy,Albatros troetddu
Phoebetria fusca,cy,Albatros du
Phoebetria palpebrata,cy,Albatros du cefnllwyd
Phoenicircus carnifex,cy,Cotinga coch Guyana
Phoenicircus nigricollis,cy,Cotinga coch a du
Phoeniconaias minor,cy,Fflamingo bach
Phoenicoparrus andinus,cy,Fflamingo'r Andes
Phoenicoparrus jamesi,cy,Fflamingo James
Phoenicopterus chilensis,cy,Fflamingo Chile
Phoenicopterus roseus,cy,Greater Flamingo
Phoenicopterus ruber,cy,Fflamingo mawr
Phoeniculus bollei,cy,Copog goed benwyn
Phoeniculus damarensis,cy,Copog goed borffor
Phoeniculus purpureus,cy,Copog goed werdd
Phoeniculus somaliensis,cy,Copog goed bigddu
Phoenicurus alaschanicus,cy,Tingoch Przewalski
Phoenicurus auroreus,cy,Tingoch Dawria
Phoenicurus bicolor,cy,Tingoch y Philipinau
Phoenicurus coeruleocephala,cy,Tingoch penlas
Phoenicurus erythrogastrus,cy,Tingoch Güldenstadt
Phoenicurus erythronotus,cy,Tingoch Eversmann
Phoenicurus frontalis,cy,Tingoch Bronlas
Phoenicurus fuliginosus,cy,Tingoch tywyll
Phoenicurus hodgsoni,cy,Tingoch Hodgson
Phoenicurus leucocephalus,cy,Tingoch corunwyn
Phoenicurus moussieri,cy,Tingoch Moussier
Phoenicurus ochruros,cy,Tingoch du
Phoenicurus phoenicurus,cy,Tingoch
Phoenicurus schisticeps,cy,Tingoch gyddfwyn
Pholia sharpii,cy,Drudwen Sharpe
Pholidoptera aptera,cy,Alpine Dark Bush-cricket
Pholidoptera griseoaptera,cy,Criced y llwyni tywyll
Pholidornis rushiae,cy,Cwyrbig cwta
Phonipara canora,cy,Twinc gwair Ciwba
Phonygammus keraudrenii,cy,Trumpet Manucode
Phragmacia substriata,cy,Prinia Namaqua
Phrygilus atriceps,cy,Pila mynydd penddu
Phrygilus gayi,cy,Pila mynydd penllwyd
Phrygilus patagonicus,cy,Pila mynydd Patagonia
Phrygilus punensis,cy,Pila mynydd Periw
Phrynobatrachus latifrons,cy,Ahl's River Frog
Phrynobatrachus mababiensis,cy,Mababe puddle frog
Phrynobatrachus natalensis,cy,Natal Puddle Frog
Phrynobatrachus stewartae,cy,Phrynobatrachus stewartae
Phrynobatrachus tokba,cy,Tokba River Frog
Phrynomantis bifasciatus,cy,Red-Banded Rubber Frog
Phylidonyris niger,cy,Melysor bochwyn
