scientific_name,locale,common_name
Aythya fuligula,af,Kuifeend
Balaeniceps rex,af,Skoenbek
Balaenoptera physalus,af,Rorkwal
Balearica regulorum,af,Mahem
Batis capensis,af,Kaapse bosbontrokkie
Batis fratrum,af,Woodwardse bosbontrokkie
Batis molitor,af,Witliesbosbontrokkie
Batis pririt,af,Priritbosbontrokkie
Batis soror,af,Mosambiekbosbontrokkie
Batrachostomus septimus,af,Filippynse kikkerbek
Bias musicus,af,Witpensvlieëvanger
Bison bison,af,Amerikaanse bison
Bison bonasus,af,Wisent
Bocagia minuta,af,Vleitjagra
Bos grunniens,af,Gedomestikeerde jak
Boselaphus tragocamelus,af,Nilgai
Bostrychia hagedash,af,Hadeda
Botaurus minutus,af,Kleinrietreier
Botaurus stellaris,af,Grootrietreier
Bradornis mariquensis,af,Maricovlieëvanger
Bradypterus baboecala,af,Kaapse vleisanger
Bradypterus barratti,af,Ruigtesanger
Bradypterus sylvaticus,af,Knysnaruigtesanger
Branta canadensis,af,Kanadese gans
Branta leucopsis,af,Witwanggans
Branta ruficollis,af,Rooiborsgans
Branta sandvicensis,af,Hawaise gans
Breviceps gibbosus,af,Kaapse reënpadda
Breviceps mossambicus,af,Mosambiekse reënpadda
Breviceps namaquensis,af,Namaquareënpadda
Breviceps poweri,af,Power se reënpadda
Breviceps rosei,af,Rose se reënpadda
Breviceps sopranus,af,Fluitreënpadda
Breviceps verrucosus,af,Klareënpadda
Brunhilda erythronotos,af,Swartwangsysie
Bubalornis niger,af,Buffelwewer
Bubo africanus,af,Gevlekte ooruil
Bubo capensis,af,Kaapse ooruil
Bubo lacteus,af,Reuse-ooruil
Bubo scandiacus,af,Sneeuuil
Bubulcus ibis,af,Veereier
Buceros rhinoceros,af,Renosterkopvoël
Bucorvus abyssinicus,af,Noordelike bromvoël
Bucorvus leadbeateri,af,Bromvoël
Bugeranus carunculatus,af,Lelkraanvoël
Bulweria bulwerii,af,Bleekvlerkkeilstert
Bulweria fallax,af,Donkervlerkkeilstert
Buphagus africanus,af,Geelbekrenostervoël
Buphagus erythroryncha,af,Rooibekrenostervoël
Buphagus erythrorynchus,af,Rooibekrenostervoël
Burhinus capensis,af,Gewone dikkop
Burhinus vermiculatus,af,Waterdikkop
Butastur rufipennis,af,Rooivlerkjakkalsvoël
Buteo augur,af,Witborsjakkalsvoël
Buteo auguralis,af,Rooinekjakkalsvoël
Buteo buteo,af,Bruinjakkalsvoël
Buteo oreophilus,af,Bosjakkalsvoël
Buteo rufinus,af,Langbeenjakkalsvoël
Buteo rufofuscus,af,Rooiborsjakkalsvoël
Buteo trizonatus,af,Bosjakkalsvoël
Butorides striata,af,Groenrugreier
Bycanistes brevis,af,Kuifkopboskraai
Bycanistes bucinator,af,Gewone boskraai
Cacosternum boettgeri,af,Gewone blikslanertjie
Cacosternum capense,af,Kaapse Blikslanertjie
Cacosternum karooicum,af,Karoo-blikslanertjie
Cairina moschata,af,Makou
